服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PUB-RMBTS-I-0151	公共服务体系	机构数据	机构基础信息	/	本币利率互换会员信息	单向：Out-Only	私有服务		IRS净额清算-机构基础信息	RMBTS-SHCH-17	/			/	IMIX	本币交易系统	上海清算所
PRV-PTPS-I-0010	公共服务体系	统计分析	基础统计数据	闭市统计	本币闭市统计	双向：Out-In	私有服务	PRV-SHCH-I-0064	闭市统计-本币	PTPS-IHUb-SHCH-4	/			46.0	IMIX	交易后处理系统	上海清算所
PUB-RMBTS-I-0162	公共服务体系	统计分析	基础统计数据	闭市统计	本币闭市统计	单向：Out-Only	公有服务		闭市统计	RMBTS-PTPS-9	确定合并，重复			/	IMIX	本币交易系统	交易后处理系统
PUB-RMBTS-I-0164	公共服务体系	统计分析	基础统计数据	闭市统计	本币闭市统计	单向：Out-Only	公有服务		闭市统计	RMBTS-PTPS-11	确定合并，重复			/	IMIX	本币交易系统	交易后处理系统
PRV-SHCH-I-0064	公共服务体系	统计分析	基础统计数据	闭市统计	本币闭市统计反馈	单向：Out-Only	私有服务	PRV-PTPS-I-0010	本币系统闭市反馈	SHCH-Ihub-PTPS-4	/			46.0	IMIX	上海清算所	交易后处理系统
PRV-XTRADE-I-0005	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准产品日终交易笔数	双向：Out-In	私有服务	PRV-SHCH-I-0056	清算所-当日交易总笔数	XTRADE-SHCH-SIRS-5	将本币发送给上清所得标准产品日终交易笔数服务合并至Xtrade发给上清所得标准产品交易笔数服务			47.0	IMIX	标准金融资产及衍生品交易系统	上海清算所
PRV-SHCH-I-0056	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准产品日终交易笔数反馈（核对结果）	单向：Out-Only	私有服务	PRV-XTRADE-I-0005	清算所-当日交易总笔数-反馈	XTRADE-SHCH-SIRS-5-R	将本币发送给上清所得标准产品日终交易笔数反馈服务合并至Xtrade发给上清所得标准产品交易笔数反馈服务			47.0	IMIX	上海清算所	标准金融资产及衍生品交易系统
PRV-RMBTS-I-0055	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准利率互换日终交易笔数	单向：Out-Only	私有服务	PRV-SHCH-I-0034	标准利率互换集中清算业务-当日交易总笔数	RMBTS-SHCH-39	确定合并，本币发送给上清所的标准利率互换、标准债券远期日终交易笔数服务合并			48.0	IMIX	本币交易系统	上海清算所
PRV-SHCH-I-0034	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准利率互换日终交易笔数反馈（核对结果）	单向：Out-Only	私有服务	PRV-RMBTS-I-0055	标准利率互换集中清算业务-当日交易总笔数核对结果	RMBTS-SHCH-40	确定合并，上清所发送给本币的标准利率互换、标准债券远期日终交易笔数反馈服务合并			48.0	IMIX	上海清算所	本币交易系统
PUB-XTRADE-I-0005	公共服务体系	统计分析	基础统计数据	交易笔数统计	本币标准利率互换统计数据	单向：Out-Only	私有服务		统计数据(接口存在但不使用)	XTRADE-RMBTS-IRS-15	/			/	IMIX	标准金融资产及衍生品交易系统	本币交易系统
