原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
本币产品发行确权-同业存单发行确权反馈	RMBTS-SHCH-24-2	成交确认数据	清算所--交易工具发行确权反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	上海清算所	本币交易系统
同业存单发行确权反馈	ICDIS-SHCH-1-R	成交确认数据	清算所--交易工具发行确权反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	上海清算所	货币及债务工具发行系统（原名：同业存单发行系统）
成交确认	FXTS-PTPS-1-R	成交信息	外汇成交反馈	私有服务	单向：Out-Only	/	/	核心交易体系	交易后处理系统	外汇交易系统
冲销冻结	PTPS-RMBTS-1	交易冲销数据	冲销冻结	公有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
多边冲销解冻	PTPS-RMBTS-3	交易冲销数据	冲销解冻	公有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
多边冲销计算结果数据	PTPS-RMBTS-2	交易冲销数据	多边冲销计算结果数据	私有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	本币交易系统
双边冲销	RMBTS-PTPS-1	交易冲销数据	双边冲销	公有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	交易后处理系统
双边冲销撤销	RMBTS-PTPS-2	交易冲销数据	双边冲销撤销	私有服务	双向：Out-In	A12	/	交易后服务体系	本币交易系统	交易后处理系统
双边冲销撤销反馈	RMBTS-PTPS-2-R	交易冲销数据	双边冲销撤销反馈	私有服务	单向：Out-Only	A12	/	交易后服务体系	交易后处理系统	本币交易系统
标准债券远期集中净额清算业务-会员交易强行平仓撤销请求	RMBTS-SHCH-28-1	交易平仓数据	清算所--本币标准产品交易平仓撤销请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员交易强行平仓撤销	SHCH-XTRADE-SIRS-4	交易平仓数据	清算所--本币标准产品交易平仓撤销请求	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-会员交易强行平仓撤销请求	RMBTS-SHCH-38-1	交易平仓数据	清算所--本币标准产品交易平仓撤销请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员交易强行平仓撤销-反馈	SHCH-XTRADE-SIRS-4-R	交易平仓数据	清算所--本币标准产品交易平仓撤销请求反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-会员交易强行平仓撤销反馈	RMBTS-SHCH-38-2	交易平仓数据	清算所--本币标准产品交易平仓撤销请求反馈	私有服务	双向：In-Out	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-会员交易强行平仓撤销反馈	RMBTS-SHCH-28-2	交易平仓数据	清算所--本币标准产品交易平仓撤销请求反馈	私有服务	双向：In-Out	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-会员强行平仓指令请求	RMBTS-SHCH-27-1	交易平仓数据	清算所--本币标准产品交易平仓请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员强行平仓指令	SHCH-XTRADE-SIRS-3	交易平仓数据	清算所--本币标准产品交易平仓请求	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-会员强行平仓指令请求	RMBTS-SHCH-37-1	交易平仓数据	清算所--本币标准产品交易平仓请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员强行平仓指令-反馈	SHCH-XTRADE-SIRS-3-R	交易平仓数据	清算所--本币标准产品交易平仓请求反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-会员强行平仓指令反馈	RMBTS-SHCH-37-2	交易平仓数据	清算所--本币标准产品交易平仓请求反馈	私有服务	双向：In-Out	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-会员强行平仓指令反馈	RMBTS-SHCH-27-2	交易平仓数据	清算所--本币标准产品交易平仓请求反馈	私有服务	双向：In-Out	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
清算所-交易数据	XTRADE-SHCH-SIRS-1	交易平仓数据	清算所--本币标准产品交易平仓数据	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-标准利率互换成交数据	RMBTS-SHCH-35-1	交易平仓数据	清算所--本币标准产品交易平仓数据	私有服务	双向：Out-In	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
标准债券远期集中净额清算业务-标准债券远期成交	RMBTS-SHCH-25-1	交易平仓数据	清算所--本币标准产品交易平仓数据	私有服务	双向：Out-In	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
标准利率互换集中清算业务-标准利率互换成交反馈	RMBTS-SHCH-35-2	交易平仓数据	清算所--本币标准产品交易平仓数据反馈	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-标准债券远期成交反馈	RMBTS-SHCH-25-2	交易平仓数据	清算所--本币标准产品交易平仓数据反馈	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
清算所-交易数据-反馈	XTRADE-SHCH-SIRS-1-R	交易平仓数据	清算所--本币标准产品交易平仓数据反馈	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	上海清算所	标准金融资产及衍生品交易系统
质押式回购押券替换请求（关联机构）	RMBTS-CSTP-26-1	交易替换数据	质押式回购关联机构押券替换请求	私有服务	单向：Out-Only	A12	/	交易后服务体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
质押式回购押券替换请求	RMBTS-CSTP-12-1	交易替换数据	质押式回购押券替换请求	私有服务	单向：Out-Only	A12	/	交易后服务体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
IRS净额清算-提前终止	RMBTS-SHCH-19-1	交易中止数据	本币利率互换提前中止请求	私有服务	双向：Out-In	A12	/	交易后服务体系	本币交易系统	上海清算所
IRS净额清算-提前终止日终反馈	RMBTS-SHCH-19-2	交易中止数据	本币利率互换提前终止响应（终止承接结果）	私有服务	单向：Out-Only	A12	/	交易后服务体系	上海清算所	本币交易系统
提前终止撤销	RMBTS-PTPS-5	交易中止数据	本币提前中止撤销	私有服务	双向：Out-In	A12	/	交易后服务体系	本币交易系统	交易后处理系统
提前终止	RMBTS-PTPS-4	交易中止数据	本币提前中止请求	私有服务	单向：Out-Only	A10	/	交易后服务体系	本币交易系统	交易后处理系统
提前终止申请	PTPS-IHUb-SHCH-2	交易中止数据	本币提前中止请求	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	交易后处理系统	上海清算所
提前终止撤销反馈	RMBTS-PTPS-5-R	交易中止数据	本币提前终止撤销反馈	私有服务	单向：Out-Only	A12	/	交易后服务体系	交易后处理系统	本币交易系统
清算承接结果（提前终止）	SHCH-Ihub-PTPS-2	交易中止数据	本币提前终止响应（退出承接结果）	私有服务	单向：Out-Only	A12	/	交易后服务体系	上海清算所	交易后处理系统
债券交易净额清算-净额清算承接结果反馈	SHCH-RMBTS-11-1	交易中止数据	债券交易清算承接结果	私有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	本币交易系统
结算失败成交	RMBTS-DPS-4	交易状态通知数据	本币结算失败成交	公有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	数据处理系统
利率互换期权市场行权状态更新	RMBTS-PTPS-14	交易状态通知数据	利率互换期权行权状态更新	公有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	交易后处理系统
标准债券远期集中净额清算业务-会员限额调整请求	RMBTS-SHCH-26-1	清算额度	清算所--本币标准产品会员限额调整请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员限额调整	SHCH-XTRADE-SIRS-2	清算额度	清算所--本币标准产品会员限额调整请求	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-会员限额调整请求	RMBTS-SHCH-36-1	清算额度	清算所--本币标准产品会员限额调整请求	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
清算所-会员限额调整-反馈	SHCH-XTRADE-SIRS-2-R	清算额度	清算所--本币标准产品会员限额调整响应	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-会员限额调整响应	RMBTS-SHCH-36-2	清算额度	清算所--本币标准产品会员限额调整响应	私有服务	双向：In-Out	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-会员限额调整响应	RMBTS-SHCH-26-2	清算额度	清算所--本币标准产品会员限额调整响应	私有服务	双向：In-Out	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
清算所-下一日会员持仓限额和头寸	SHCH-XTRADE-SIRS-6	清算额度	清算所--本币标准产品下一日会员持仓限额和头寸请求	私有服务	双向：Out-In	A10、A12	/	交易后服务体系	上海清算所	标准金融资产及衍生品交易系统
标准利率互换集中清算业务-下一日会员持仓限额和头寸全量数据	SHCH-RMBTS-15-1	清算额度	清算所--本币标准产品下一日会员持仓限额和头寸请求	私有服务	双向：Out-In	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
标准债券远期集中净额清算业务-下一日会员持仓限额和头寸全量数据	SHCH-RMBTS-13-1	清算额度	清算所--本币标准产品下一日会员持仓限额和头寸请求	私有服务	双向：Out-In	A8、A10、A12	/	交易后服务体系	上海清算所	本币交易系统
清算所-下一日会员持仓限额和头寸-反馈	SHCH-XTRADE-SIRS-6-R	清算额度	清算所--本币标准产品下一日会员持仓限额和头寸响应	私有服务	单向：Out-Only	A10、A12	/	交易后服务体系	标准金融资产及衍生品交易系统	上海清算所
标准利率互换集中清算业务-下一日会员持仓限额和头寸全量数据反馈	SHCH-RMBTS-15-2	清算额度	清算所--本币标准产品下一日会员持仓限额和头寸响应	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
标准债券远期集中净额清算业务-下一日会员持仓限额和头寸全量数据反馈	SHCH-RMBTS-13-2	清算额度	清算所--本币标准产品下一日会员持仓限额和头寸响应	私有服务	单向：Out-Only	A8、A10、A12	/	交易后服务体系	本币交易系统	上海清算所
托管余额传输-托管余额传输(超短期融资券/信用风险缓释凭证/定向工具/短期融资券/ABS/同业存单)	SHCH-RMBTS-8-2	清算额度	清算所--托管余额传输(超短期融资券/信用风险缓释凭证/定向工具/短期融资券/ABS/同业存单)	私有服务	双向：Out-In	A12	/	交易后服务体系	上海清算所	本币交易系统
托管余额传输-报文传输反馈	SHCH-RMBTS-8-3	清算额度	清算所--托管余额传输-报文传输反馈	私有服务	单向：Out-Only	A12	/	交易后服务体系	本币交易系统	上海清算所
托管余额传输-托管余额发送预通知	SHCH-RMBTS-8-1	技术信息	清算所--托管余额传输-托管余额发送预通知	公有服务	单向：Out-Only	/	/	各体系共通	上海清算所	本币交易系统
IRS净额清算-利率互换（IRS）清算退出日终反馈	RMBTS-SHCH-18-2	清算进入退出记录	本币利率互换清算退出反馈（退出承接结果）	私有服务	单向：Out-Only	A12	/	交易后服务体系	上海清算所	本币交易系统
IRS净额清算-利率互换（IRS）清算退出	RMBTS-SHCH-18-1	清算进入退出记录	本币利率互换清算退出请求	私有服务	双向：Out-In	A10，A12	/	交易后服务体系	本币交易系统	上海清算所
单笔IRS交易申请清算退出	RMBTS-PTPS-3	清算进入退出记录	本币利率互换清算退出请求	私有服务	单向：Out-Only	A10	/	交易后服务体系	本币交易系统	交易后处理系统
清算进入	RMBTS-PTPS-7	清算进入退出记录	本币清算进入	私有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	交易后处理系统
清算承接结果（清算退出）	SHCH-Ihub-PTPS-1	清算进入退出记录	本币清算退出反馈（终止承接结果）	私有服务	单向：Out-Only	A12	/	交易后服务体系	上海清算所	交易后处理系统
清算退出（多边冲销引起）	PTPS-IHUb-SHCH-3	清算进入退出记录	本币清算退出请求	私有服务	双向：Out-In	A12	/	交易后服务体系	交易后处理系统	上海清算所
IRS净额清算交易	PTPS-IHUb-SHCH-1	清算数据	本币利率互换清算	私有服务	单向：Out-Only	/	/	交易后服务体系	交易后处理系统	上海清算所
IRS净额清算-清算承接审核结果反馈	RMBTS-SHCH-20	清算数据	本币利率互换清算承接审核结果	私有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	本币交易系统
IRS净额清算-交易中心实时反馈	RMBTS-SHCH-23	清算数据	本币利率互换清算承接实时审核结果	私有服务	单向：Out-Only	/	/	交易后服务体系	本币交易系统	上海清算所
清算承接结果（审核结果）	SHCH-Ihub-PTPS-3	清算数据	本币清算承接审核结果	私有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	交易后处理系统
交易中心实时反馈	SHCH-Ihub-PTPS-7	清算数据	本币清算承接实时审核结果	私有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	交易后处理系统
清算数据	SHCH-FXTS-8	清算数据	清算所--外汇竞价会员清算数据	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
会员头寸信息（未清算数据）	SHCH-FXTS-9	清算数据	清算所--外汇竞价会员头寸（未清算）数据	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
未纳入净额清算	SHCH-FXTS-4	清算数据	清算所--外汇未纳入净额清算交易数据	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
结算代理模块向本币发送现券市场的计算请求	RMBTS-RMBSCM-1-1	清算数据	现券市场计算请求--结算代理模块	私有服务	单向：Out-Only	本币与本币结算代理模块交互的请求服务与响应服务合并	/	交易后服务体系	结算代理模块	本币交易系统
本币向结算代理模块发送计算请求响应	RMBTS-RMBSCM-1-2	清算数据	现券市场计算响应--结算代理模块	私有服务	双向：In-Out	本币与本币结算代理模块交互的请求服务与响应服务合并	/	交易后服务体系	本币交易系统	结算代理模块
债券交易净额清算-质押式回购净额清算债券列表	SHCH-RMBTS-10-1	清算数据	债券交易净额清算-质押式回购净额清算债券列表	私有服务	双向：Out-In	A12	/	交易后服务体系	上海清算所	本币交易系统
债券交易净额清算-质押式回购净额清算债券列表技术反馈	SHCH-RMBTS-10-2	清算数据	债券交易质押式回购质押券信息反馈	私有服务	单向：Out-Only	A12	/	交易后服务体系	本币交易系统	上海清算所
日间会员逾期信息	SHCH-FXTS-5	违约数据	清算所--外汇竞价会员日间逾期数据	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
日间会员实际到账数据信息	SHCH-FXTS-6	应收应付数据	清算所--外汇竞价会员日间实际到账数据	公有服务	单向：Out-Only	/	/	交易后服务体系	上海清算所	外汇交易系统
债券估值－债券动态估值	BMS-CMDS-30	产品估值数据	债券动态估值	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
债券估值－债券收盘估值	BMS-CMDS-31	产品估值数据	债券收盘估值	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
Shibor数据－Shibor报价行报价	BMS-CMDS-4	关键指标数据	Shibor报价行报价	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
Shibor－Shibor报价品种	BMS-RMBTS-16	关键指标数据	Shibor报价品种	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	本币交易系统
SHIBOR报价品种数据	SHIBOR-RMBTS-3	关键指标数据	Shibor报价品种	公有服务	单向：Out-Only	A16	/	信息服务体系	上海银行间同业拆放利率系统	本币交易系统
SHIBOR均值数据	SHIBOR-RMBTS-1	关键指标数据	Shibor均值数据	公有服务	单向：Out-Only	A16	/	信息服务体系	上海银行间同业拆放利率系统	本币交易系统
Shibor－Shibor移动均值	BMS-RMBTS-15	关键指标数据	Shibor均值数据	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	本币交易系统
Shibor－Shibor值	BMS-RMBTS-14	关键指标数据	Shibor值	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	本币交易系统
贷款基础利率－贷款基础利率LPR	BMS-CMDS-41	关键指标数据	贷款基础利率LPR	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
贷款基础利率－贷款基础利率LPR报价行报价	BMS-CMDS-43	关键指标数据	贷款基础利率LPR报价行报价	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
贷款基础利率－贷款基础利率LPR移动均值	BMS-CMDS-42	关键指标数据	贷款基础利率LPR移动均值	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
黄金基准价	SGE-FXTS-1	关键指标数据	黄金基准价	公有服务	单向：Out-Only	/	/	信息服务体系	上海黄金交易所	外汇交易系统
回购定盘－回购定盘利率数据	BMS-RMBTS-2	关键指标数据	回购定盘利率数据	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	本币交易系统
美元隐含利率－美元隐含利率数据	BMS-CMDS-25	关键指标数据	美元隐含利率	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
回购定盘－七天回购移动平均利率数据	BMS-RMBTS-3	关键指标数据	七天回购移动平均利率数据	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	本币交易系统
人民币中间价	FXTS-CHINAMONEY-1	关键指标数据	人民币外汇中间价	公有服务	单向：Out-Only	/	/	信息服务体系	外汇交易系统	中国货币网
外汇期权delta参数－外汇期权delta参数	BMS-CMDS-39	关键指标数据	外汇期权delta参数	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
中国货币市场基准利率	SHIBOR-RMBTS-2	关键指标数据	中国货币市场基准利率	公有服务	单向：Out-Only	/	/	信息服务体系	上海银行间同业拆放利率系统	本币交易系统
利率互换－Shibor1W利率互换曲线	BMS-RMBTS-7	基准曲线	Shibor利率互换曲线	公有服务	单向：Out-Only	A14、A16	/	信息服务体系	市场基准参考系统	本币交易系统
Shibor数据－Shibor3M利率互换报价曲线	BMS-CMDS-7	基准曲线	Shibor利率互换曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	市场数据发布系统
利率互换－Shibor3M利率互换曲线	BMS-RMBTS-5	基准曲线	Shibor利率互换曲线	公有服务	单向：Out-Only	A14、A16	/	信息服务体系	市场基准参考系统	本币交易系统
利率互换－ShiborON利率互换曲线	BMS-RMBTS-6	基准曲线	Shibor利率互换曲线	公有服务	单向：Out-Only	A14、A16	/	信息服务体系	市场基准参考系统	本币交易系统
贷款利率互换－1年贷款利率互换曲线	BMS-RMBTS-9	基准曲线	贷款利率互换曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	本币交易系统
贷款利率互换－3年贷款利率互换曲线	BMS-RMBTS-10	基准曲线	贷款利率互换曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	本币交易系统
贷款利率互换－5年贷款利率互换曲线	BMS-RMBTS-11	基准曲线	贷款利率互换曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	本币交易系统
收益率曲线－当日做市券种	BMS-CMDS-16	基准曲线	当日做市券种	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
货币掉期－人民币Shibor3M对美元Libor3M货币掉期曲线	BMS-CMDS-38	基准曲线	货币掉期曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	市场数据发布系统
货币掉期－人民币固定利率对美元Libor3M货币掉期曲线	BMS-CMDS-37	基准曲线	货币掉期曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	市场数据发布系统
收益率曲线－基准券定盘曲线	BMS-CMDS-17	基准曲线	基准券定盘收益率曲线	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
利率互换定收盘－一年定存(季付)利率互换曲线	BMS-RMBTS-13	基准曲线	利率互换定收盘曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	本币交易系统
回购定盘－一年定存(年付)利率互换定收盘曲线	BMS-RMBTS-4	基准曲线	利率互换定收盘曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	本币交易系统
FR007利率互换－FR007利率互换报价曲线	BMS-CMDS-27	基准曲线	利率互换曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	市场数据发布系统
利率互换－FR007利率互换曲线	BMS-RMBTS-8	基准曲线	利率互换曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	本币交易系统
外汇远期－美元对人民币外汇远期曲线	BMS-CMDS-28	基准曲线	美元对人民币外汇远期曲线	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
外汇远期－美元对人民币外汇远期报价曲线	BMS-CMDS-29	基准曲线	美元对人民币外汇远期最优报价曲线	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
收益率曲线－基准券实时曲线	BMS-CGM-1	基准曲线	实时收益率曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	本币透明度系统
收益率曲线－基准券实时收益率曲线	BMS-CMDS-10	基准曲线	实时收益率曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	市场数据发布系统
收益率曲线－实时收益率曲线	BMS-RMBTS-17	基准曲线	实时收益率曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	本币交易系统
收益率曲线－收盘到期收益率曲线	BMS-RMBTS-18	基准曲线	收盘收益率曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	本币交易系统
收益率曲线－收盘曲线	BMS-CMDS-12	基准曲线	收盘收益率曲线	公有服务	单向：Out-Only	A16	/	信息服务体系	市场基准参考系统	市场数据发布系统
收益率曲线－收盘曲线成交样本	BMS-CMDS-14	基准曲线	收盘收益率曲线成交样本	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
收益率曲线－收盘曲线双边报价样本	BMS-CMDS-13	基准曲线	收盘收益率曲线双边报价样本	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
外汇掉期-SecurityID=CSCRUSD0	BMS-CMDS-21	基准曲线	外汇掉期曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	市场数据发布系统
外汇掉期－SecurityID=CSCRUSDA	BMS-CMDS-23	基准曲线	外汇掉期曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	市场数据发布系统
外汇掉期－SecurityID=CSCRUSDB	BMS-CMDS-22	基准曲线	外汇掉期曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	市场数据发布系统
外汇掉期－SecurityID=CSCAUSD0	BMS-CMDS-24	基准曲线	外汇掉期曲线	公有服务	单向：Out-Only	A14	/	信息服务体系	市场基准参考系统	市场数据发布系统
外汇期权波动率－外汇期权波动率曲线	BMS-CMDS-40	基准曲线	外汇期权波动率曲线	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
债券指数-债券指数K线数据	BMS-CMDS-19	基准指数	债券指数K线数据	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
债券指数-债券指数日内数据	BMS-CMDS-20	基准指数	债券指数日内数据	公有服务	单向：Out-Only	/	/	信息服务体系	市场基准参考系统	市场数据发布系统
存款类机构货币市场行情	DPS-RMBMSS-2	增值行情数据	存款类机构货币市场行情	公有服务	单向：Out-Only	/	/	信息服务体系	数据处理系统	本币监测系统
			            							
