原接口名称	原接口编号	所属数据实体	所属服务名	公有/私有	MEP(消息交换模式)	合并建议	其他修订建议	所属服务体系	服务发布者	服务订阅者
利率互换市场-关联机构（浮动）浮动意向报价	RMBTS-CSTP-21-5	报价信息	利率互换关联机构(浮动)浮动意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（固定）浮动一次确认点击成交报价	RMBTS-CSTP-21-3	报价信息	利率互换关联机构(固定)浮动点击成交报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（固定）浮动对话报价	RMBTS-CSTP-21-2	报价信息	利率互换关联机构(固定)浮动对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（固定）浮动双向报价	RMBTS-CSTP-21-4	报价信息	利率互换关联机构(固定)浮动双向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换市场-关联机构（固定）浮动意向报价	RMBTS-CSTP-21-1	报价信息	利率互换关联机构(固定)浮动意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换期权市场-本方对话报价	RMBTS-CSTP-13-1	报价信息	利率互换期权对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率互换期权市场-关联机构对话报价	RMBTS-CSTP-27-1	报价信息	利率互换期权关联机构对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率上限/下限期权市场-本方对话报价	RMBTS-CSTP-14-1	报价信息	利率上限/下限期权对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
利率上限/下限期权市场-关联机构对话报价	RMBTS-CSTP-28-1	报价信息	利率上限/下限期权关联机构对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
买断式回购市场-本方对话报价	RMBTS-CSTP-3-2	报价信息	买断式回购对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
买断式回购市场-关联机构对话报价	RMBTS-CSTP-17-2	报价信息	买断式回购关联机构对话报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
买断式回购市场-关联机构意向报价	RMBTS-CSTP-17-1	报价信息	买断式回购关联机构意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
买断式回购市场-意向报价	RMBTS-CMDS-3-1	报价信息	买断式回购意向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	市场数据发布系统
现券买卖市场-做市报价	RMBTS-CMDS-4-3	报价信息	现券买卖做市报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	市场数据发布系统
资产支持类证券市场-做市报价	RMBTS-CMDS-5-4	报价信息	现券买卖做市报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	市场数据发布系统
现券买卖市场-点击成交报价	RMBTS-CMDS-4-2	报价信息	现券买卖点击成交报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	市场数据发布系统
资产支持类证券市场-点击成交报价	RMBTS-CMDS-5-2	报价信息	现券买卖点击成交报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	市场数据发布系统
发送现券点击成交报价	RMBTS-RMBSCM-4-1	报价信息	现券买卖点击成交报价请求--结算代理模块	私有服务	双向：Out-In	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	本币交易系统	结算代理模块
接收现券点击成交报价响应	RMBTS-RMBSCM-4-2	报价信息	现券买卖点击成交报价响应--结算代理模块	私有服务	单向：Out-Only	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	结算代理模块	本币交易系统
现券买卖市场-本方对话报价	RMBTS-CSTP-4-4	报价信息	现券买卖对话报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
资产支持证券市场-本方对话报价	RMBTS-CSTP-5-2	报价信息	现券买卖对话报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
发送现券对话报价	RMBTS-RMBSCM-3-1	报价信息	现券买卖对话报价请求--结算代理模块	私有服务	双向：Out-In	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	本币交易系统	结算代理模块
接收现券对话报价响应	RMBTS-RMBSCM-3-2	报价信息	现券买卖对话报价响应--结算代理模块	私有服务	单向：Out-Only	本币与本币结算代理模块交互的请求服务与响应服务合并	/	核心交易体系	结算代理模块	本币交易系统
现券买卖市场-关联机构点击成交报价	RMBTS-CSTP-18-5	报价信息	现券买卖关联机构点击成交报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
资产支持证券市场-关联机构点击成交报价	RMBTS-CSTP-19-3	报价信息	现券买卖关联机构点击成交报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
现券买卖市场-关联机构对话报价	RMBTS-CSTP-18-4	报价信息	现券买卖关联机构对话报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
资产支持证券市场-关联机构对话报价	RMBTS-CSTP-19-2	报价信息	现券买卖关联机构对话报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
现券买卖市场-关联机构RFQ报价请求	RMBTS-CSTP-18-2	报价信息	现券买卖关联机构请求报价请求	私有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
现券买卖市场-关联机构RFQ报价请求回复	RMBTS-CSTP-18-3	报价信息	现券买卖关联机构请求报价响应	私有服务	双向：In-Out	/	/	核心交易体系	本币交易直通式处理系统（本币CSTP）	本币交易系统
资产支持证券市场-关联机构双向报价	RMBTS-CSTP-19-5	报价信息	现券买卖关联机构双向报价	公有服务	单向：Out-Only	/	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
现券买卖市场-关联机构限价报价	RMBTS-CSTP-18-7	报价信息	现券买卖关联机构限价报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
资产支持证券市场-关联机构限价报价	RMBTS-CSTP-19-6	报价信息	现券买卖关联机构限价报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
现券买卖市场-关联机构意向报价	RMBTS-CSTP-18-1	报价信息	现券买卖关联机构意向报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
资产支持证券市场-关联机构意向报价	RMBTS-CSTP-19-1	报价信息	现券买卖关联机构意向报价	公有服务	单向：Out-Only	确定合并	/	核心交易体系	本币交易系统	本币交易直通式处理系统（本币CSTP）
