服务编号	所属服务体系	所属主题域	所属数据实体	所属数据实体类型	服务名称	MEP(消息交换模式)	公有/私有	对方接口编号	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	服务用途（用原“私有服务同一业务双向交互编号”或“对方接口编号”预留字段展示）	数据交换模式	服务发布者	服务订阅者
PUB-CDITS-2	公共服务体系	产品数据	产品基础信息	/	交易工具发行--大额存单	单向：OUT-Only	公有服务	/	V_ISSUE	/	确定合并，编号E65-3	 8:01:08	定时－指定时点		ETL	大额存单系统	债券基础信息系统
PUB-ICDIS-0004	公共服务体系	产品数据	产品基础信息	/	交易工具发行--同业存单	单向：OUT-Only	公有服务	/	V_ISSUE	/	确定合并，编号E100-2	 21:05:07	定时－指定时点		ETL	同业存单系统	计费管理系统
PUB-ICDIS-0004	公共服务体系	产品数据	产品基础信息	/	交易工具发行--同业存单	单向：OUT-Only	公有服务	/	V_ISSUE	/	确定合并，编号E100-2	 8:03:06\ 23:50:04	定时－指定时点		ETL	同业存单系统	债券基础信息系统
PUB-RMBTS-0164	公共服务体系	产品数据	产品基础信息	/	交易工具付息日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DATE_DTLS(删除一个重复19:29:39)	/	确定合并，编号E3-4	 19:29:39	定时－指定时点		ETL	本币交易系统	计费管理系统
PUB-RMBTS-0164	公共服务体系	产品数据	产品基础信息	/	交易工具付息日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DATE_DTLS	/	确定合并，编号E3-4	 7:20:24\ 11:31:36\ 0:00:51	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0164	公共服务体系	产品数据	产品基础信息	/	交易工具付息日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DATE_DTLS	/	确定合并，编号E3-4	 19:30:27	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-RMBTS-0164	公共服务体系	产品数据	产品基础信息	/	交易工具付息日详情	单向：OUT-Only	公有服务	/	TRDX_ASSET_COUPON_DATE_DTLS(删除一个重复8:21:46)	/	确定合并，编号E3-4	 8:21:46	定时－指定时点		ETL	本币交易系统	中国货币网
PUB-RMBTS-0207	公共服务体系	产品数据	产品基础信息	/	交易工具信息--基本信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_BASE_DTLS(仅8:30:28\21:06:01，且删除四个重复21:06:01)\TRDX_ASSET_BASE_DTLS1(仅4:00:09，且删除一个重复4:00:09)	/	确定合并，编号E7-5	 4:00:09\ 8:30:28\ 21:06:01	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0207	公共服务体系	产品数据	产品基础信息	/	交易工具信息--基本信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_BASE_DTLS(删除一个重复0:00:34)	/	确定合并，编号E7-5	 0:00:34	定时－指定时点		ETL	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-0207	公共服务体系	产品数据	产品基础信息	/	交易工具信息--基本信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_BASE_DTLS	/	确定合并，编号E7-5	 12:00:11	定时－指定时点		ETL	本币交易系统	市场基准参考系统
